Item_ID,context_level,irony_label,pronoun,key word,adjective,polarity,context,speaker,target_utterance,answering_options,Writer,Reviewer,Tokens (TODO)
C1_26_UA_I,unambiguous,ironic,They,suggestion,idiotic,negative,Their colleague's suggestion was idiotic.,They said:,"""We really had luck with that one.""","a. They were genuinely fortunate to have such a strong suggestion.
b. As far as they were concerned, it was a poor suggestion.
c. They got lucky at the casino.
d. They thought that every project starts with a suggestion.",Stella,Kristina,
C1_26_UA_NI,unambiguous,non-ironic,They,suggestion,brilliant,positive,Their colleague's suggestion was brilliant.,They said:,"""We really had luck with that one.""","a. They were genuinely fortunate to have such a strong suggestion.
b. As far as they were concerned, it was a poor suggestion.
c. They got lucky at the casino.
d. They thought that every project starts with a suggestion.",Stella,Kristina,
"C1_27_A_I
",ambiguous,ironic,She,argument,intelligent,positive,His argument in the debate was intelligent.,She says:,"""What a master of rhetoric.""","a. His argument was strong and well presented.
b. His argument was weak and poorly constructed.
c. Sokrates was a master of rhetoric.
d. She had an argument with him that night.",Stella,Kristina,
C1_27_A_NI,ambiguous,non-ironic,She,argument,stupid,negative,His argument in the debate was stupid.,She says:,"""What a master of rhetoric.""","a. His argument was strong and well presented.
b. His argument was weak and poorly constructed.
c. Sokrates was a master of rhetoric.
d. She had an argument with him that night.",Stella,Kristina,
C1_27_UA_I,unambiguous,ironic,She,argument,brilliant,positive,His argument in the debate was brilliant.,She says:,"""What a master of rhetoric.""","a. His argument was strong and well presented.
b. His argument was weak and poorly constructed.
c. Sokrates was a master of rhetoric.
d. She had an argument with him that night.",Stella,Kristina,
C1_27_UA_NI,unambiguous,non-ironic,She,argument,idiotic,negative,His argument in the debate was idiotic.,She says:,"""What a master of rhetoric.""","a. His argument was strong and well presented.
b. His argument was weak and poorly constructed.
c. Sokrates was a master of rhetoric.
d. She had an argument with him that night.",Stella,Kristina,
"C1_28_A_I
",ambiguous,ironic,He,business plan,stupid,negative,His business plan was stupid.,She says:,"""We will make lots of money with this.""","a. She believed that his business plan would be successful.
b. She believed that his business plan would fail.
c. She was interested in making lots of money.
d. He asked a colleague for help with his business plan.",Stella,Kristina,
C1_28_A_NI,ambiguous,non-ironic,He,business plan,intelligent,positive,His business plan was intelligent.,She says:,"""We will make lots of money with this.""","a. She believed that his business plan would be successful.
b. She believed that his business plan would fail.
c. She was interested in making lots of money.
d. He asked a colleague for help with his business plan.",Stella,Kristina,
C1_28_UA_I,unambiguous,ironic,He,business plan,idiotic,negative,His business plan was brilliant.,She says:,"""We will make lots of money with this.""","a. She believed that his business plan would be successful.
b. She believed that his business plan would fail.
c. She was interested in making lots of money.
d. He asked a colleague for help with his business plan.",Stella,Kristina,
C1_28_UA_NI,unambiguous,non-ironic,He,business plan,brilliant,positive,His business plan was brilliant.,She says:,"""We will make lots of money with this.""","a. She believed that his business plan would be successful.
b. She believed that his business plan would fail.
c. She was interested in making lots of money.
d. He asked a colleague for help with his business plan.",Stella,Kristina,
C1_29_A_I,ambiguous,ironic,He,restaurant visit,satiated,positive,After the restaurant visit he was satiated.,He says:,"""Best dinner ever.""","a. The restaurant visit was genuinely outstanding.
b. The restaurant visit was a real disappointment.
c. It was the best-reviewed dinner spot in the whole city.
d. He looked forward to this restaurant visit for weeks.",Stella,Kristina,
C1_29_A_NI,ambiguous,non-ironic,He,restaurant visit,hungry,negative,After the restaurant visit he was hungry.,He says:,"""Best dinner ever.""","a. The restaurant visit was genuinely outstanding.
b. The restaurant visit was a real disappointment.
c. It was the best-reviewed dinner spot in the whole city.
d. He looked forward to this restaurant visit for weeks.",Stella,Kristina,
C1_29_UA_I,unambiguous,ironic,He,restaurant visit,full,positive,After the restaurant visit he was full.,He says:,"""Best dinner ever.""","a. The restaurant visit was genuinely outstanding.
b. The restaurant visit was a real disappointment.
c. It was the best-reviewed dinner spot in the whole city.
d. He looked forward to this restaurant visit for weeks.",Stella,Kristina,
C1_29_UA_NI,unambiguous,non-ironic,He,restaurant visit,starving,negative,After the restaurant visit he was starving.,He says:,"""Best dinner ever.""","a. The restaurant visit was genuinely outstanding.
b. The restaurant visit was a real disappointment.
c. It was the best-reviewed dinner spot in the whole city.
d. He looked forward to this restaurant visit for weeks.",Stella,Kristina,
"C1_30_A_I
",ambiguous,ironic,He,buffet ,hungry,negative,He left the buffet feeling hungry.,He says:,"""Truly a feast for the senses."" ","a. The buffet was a rich.
b. There had been very little worth eating at the buffet.
c. The feast was celebrated every year in their village.
d. Diners often have a buffet.",Stella,Kristina,
C1_30_A_NI,ambiguous,non-ironic,He,buffet ,satiated,positive,He left the buffet feeling satiated.,He says:,"""Truly a feast for the senses."" ","a. The buffet was a rich.
b. There had been very little worth eating at the buffet.
c. The feast was celebrated every year in their village.
d. Diners often have a buffet.",Stella,Kristina,
C1_30_UA_I,unambiguous,ironic,He,buffet ,starving,negative,He left the buffet feeling starving.,He says:,"""Truly a feast for the senses."" ","a. The buffet was a rich.
b. There had been very little worth eating at the buffet.
c. The feast was celebrated every year in their village.
d. Diners often have a buffet.",Stella,Kristina,
C1_30_UA_NI,unambiguous,non-ironic,He,buffet ,full,positive,He left the buffet feeling full.,He says:,"""Truly a feast for the senses."" ","a. The buffet was a rich.
b. There had been very little worth eating at the buffet.
c. The feast was celebrated every year in their village.
d. Diners often have a buffet.",Stella,Kristina,
C1_31_A_I,ambiguous,ironic,They,picnic,satiated,positive,They left the picnic feeling satiated.,They say:,"""Food for the soul.""","a. The picnic was nourishing and genuinely enjoyable.
b. There was barely anything to eat; they left unsatisfied.
c. She always kept her soul music collection in good order.
d. They spent the morning preparing sandwiches for the picnic.",Stella,Kristina,
C1_31_A_NI,ambiguous,non-ironic,They,picnic,hungry,negative,They left the picnic feeling hungry.,They say:,"""Food for the soul.""","a. The picnic was nourishing and genuinely enjoyable.
b. There was barely anything to eat; they left unsatisfied.
c. She always kept her soul music collection in good order.
d. They spent the morning preparing sandwiches for the picnic.",Stella,Kristina,
C1_31_UA_I,unambiguous,ironic,They,picnic,full,positive,They left the picnic feeling full.,They say:,"""Food for the soul.""","a. The picnic was nourishing and genuinely enjoyable.
b. There was barely anything to eat; they left unsatisfied.
c. She always kept her soul music collection in good order.
d. They spent the morning preparing sandwiches for the picnic.",Stella,Kristina,
C1_31_UA_NI,unambiguous,non-ironic,They,picnic,starving,negative,They left the picnic feeling starving.,They say:,"""Food for the soul.""","a. The picnic was nourishing and genuinely enjoyable.
b. There was barely anything to eat; they left unsatisfied.
c. She always kept her soul music collection in good order.
d. They spent the morning preparing sandwiches for the picnic.",Stella,Kristina,
"C1_32_A_I
",ambiguous,ironic,He,plate,hungry,negative,He looked at the empty plate in front of him and was hungry.,He says:,"""No way I could eat more."" ","a. His plate had been full with food and he ate it all up.
b. The waiter had forgotten to fill his plate and he did not eat anything.
c. He prefers to eat his lunch alone.
d. He went to a stylish pottery to buy a special plate.",Stella,Kristina,
C1_32_A_NI,ambiguous,non-ironic,He,plate,satiated,positive,He looked at the empty plate in front of him and was satiated.,He says:,"""No way I could eat more."" ","a. His plate had been full with food and he ate it all up.
b. The waiter had forgotten to fill his plate and he did not eat anything.
c. He prefers to eat his lunch alone.
d. He went to a stylish pottery to buy a special plate.",Stella,Kristina,
C1_32_UA_I,unambiguous,ironic,He,plate,starving,negative,He looked at the empty plate in front of him and was starving.,He says:,"""No way I could eat more."" ","a. His plate had been full with food and he ate it all up.
b. The waiter had forgotten to fill his plate and he did not eat anything.
c. He prefers to eat his lunch alone.
d. He went to a stylish pottery to buy a special plate.",Stella,Kristina,
C1_32_UA_NI,unambiguous,non-ironic,He,plate,full,positive,He looked at the empty plate in front of him and was full.,He says:,"""No way I could eat more."" ","a. His plate had been full with food and he ate it all up.
b. The waiter had forgotten to fill his plate and he did not eat anything.
c. He prefers to eat his lunch alone.
d. He went to a stylish pottery to buy a special plate.",Stella,Kristina,
"C1_33_A_I
",ambiguous,ironic,She,library ,loud,positive,She walked into the library and it was loud.,She says:,"""Perfect place to concentrate.""","a. The library was a calm and quiet environment.
b. The library was far too noisy to concentrate.
c. She asked her colleague for a place to concentrate.
d. She looked for a new book in the library.",Stella,Kristina,
C1_33_A_NI,ambiguous,non-ironic,She,library ,quiet,negative,She walked into the library and it was quiet.,She says:,"""Perfect place to concentrate.""","a. The library was a calm and quiet environment.
b. The library was far too noisy to concentrate.
c. She asked her colleague for a place to concentrate.
d. She looked for a new book in the library.",Stella,Kristina,
C1_33_UA_I,unambiguous,ironic,She,library ,deafening,positive,She walked into the library and it was deafening.,She says:,"""Perfect place to concentrate.""","a. The library was a calm and quiet environment.
b. The library was far too noisy to concentrate.
c. She asked her colleague for a place to concentrate.
d. She looked for a new book in the library.",Stella,Kristina,
C1_33_UA_NI,unambiguous,non-ironic,She,library ,inaudible,negative,She walked into the library and it was inaudible.,She says:,"""Perfect place to concentrate.""","a. The library was a calm and quiet environment.
b. The library was far too noisy to concentrate.
c. She asked her colleague for a place to concentrate.
d. She looked for a new book in the library.",Stella,Kristina,
C1_34_A_I,ambiguous,ironic,She,concert,quiet,negative,We came back from a concert which was quiet.,I say:,"""I've almost gone deaf.""","a. The concert was surprisingly quiet.
b. The concert was pretty loud.
c. My grandfather is deaf.
d. I was looking forward to the next concert.",Stella,Kristina,
C1_34_A_NI,ambiguous,non-ironic,She,concert,loud,positive,We came back from a concert which was loud.,I say:,"""I've almost gone deaf.""","a. The concert was surprisingly quiet.
b. The concert was pretty loud.
c. My grandfather is deaf.
d. I was looking forward to the next concert.",Stella,Kristina,
C1_34_UA_I,unambiguous,ironic,She,concert,inaudible,negative,We came back from a concert which was inaudible.,I say:,"""I've almost gone deaf.""","a. The concert was surprisingly quiet.
b. The concert was pretty loud.
c. My grandfather is deaf.
d. I was looking forward to the next concert.",Stella,Kristina,
C1_34_UA_NI,unambiguous,non-ironic,She,concert,deafening,positive,We came back from a concert which was deafening.,I say:,"""I've almost gone deaf.""","a. The concert was surprisingly quiet.
b. The concert was pretty loud.
c. My grandfather is deaf.
d. I was looking forward to the next concert.",Stella,Kristina,
C1_35_A_I,ambiguous,ironic,She,movie,loud,positive, She watched a movie in the theater and found it loud.,She says:,"""It was so difficult to hear.""","a. The movie was too quiet to hear.
b. The movie was very loud.
c. She generally has difficulties with her hearing.
d. Watching a movie in the theater is a real event.",Stella,Kristina,
C1_35_A_NI,ambiguous,non-ironic,She,movie,quiet,negative, She watched a movie in the theater and found it quiet.,She says:,"""It was so difficult to hear.""","a. The movie was too quiet to hear.
b. The movie was very loud.
c. She generally has difficulties with her hearing.
d. Watching a movie in the theater is a real event.",Stella,Kristina,
C1_35_UA_I,unambiguous,ironic,She,movie,deafening,positive, She watched a movie in the theater and found it deafening.,She says:,"""It was so difficult to hear.""","a. The movie was too quiet to hear.
b. The movie was very loud.
c. She generally has difficulties with her hearing.
d. Watching a movie in the theater is a real event.",Stella,Kristina,
C1_35_UA_NI,unambiguous,non-ironic,She,movie,inaudible,negative, She watched a movie in the theater and found it inaudible.,She says:,"""It was so difficult to hear.""","a. The movie was too quiet to hear.
b. The movie was very loud.
c. She generally has difficulties with her hearing.
d. Watching a movie in the theater is a real event.",Stella,Kristina,
"C1_36_A_I
",ambiguous,ironic,He,music,quiet,negative,His neighbours' music was quiet.,He says:,"""It seems like they are having a great party.""","a. He thinks that his neighbours' are playing music for a party.
b. He expected to hear louder music from his neighbours' party.
c. He is still unsure which party to vote for in the upcoming elections.
d. He likes talking about pop music.",Stella,Kristina,
C1_36_A_NI,ambiguous,non-ironic,He,music,loud,positive,His neighbours' music was loud.,He says:,"""It seems like they are having a great party.""","a. He thinks that his neighbours' are having a great party with music.
b. He would expected to hear louder music from his neighbours' party.
c. He is still unsure which party to vote for in the upcoming elections.
d. He likes talking about pop music.",Stella,Kristina,
C1_36_UA_I,unambiguous,ironic,He,music,inaudible ,negative,His neighbours' music was inaudible.,He says:,"""It seems like they are having a great party.""","a. He thinks that his neighbours' are having a great party with music.
b. He would expected to hear louder music from his neighbours' party.
c. He is still unsure which party to vote for in the upcoming elections.
d. He likes talking about pop music.",Stella,Kristina,
C1_36_UA_NI,unambiguous,non-ironic,He,music,deafening,positive,His neighbours' music was deafening.,He says:,"""It seems like they are having a great party.""","a. He thinks that his neighbours' are having a great party with music.
b. He would expected to hear louder music from his neighbours' party.
c. He is still unsure which party to vote for in the upcoming elections.
d. He likes talking about pop music.",Stella,Kristina,
C1_37_A_I,ambiguous,ironic,She,question,easy,positive,She prepared easy questions for the students.,She says:,"""I hope they're prepared for this.""","a. The questions required thorough preparation to answer.
b. The questions were straightforward and required little effort.
c. She had never felt so well prepared for a meeting.
d. She posted the question on the class forum.",Rabia,Stella,
C1_37_A_NI,ambiguous,non-ironic,She,question,difficult,negative,She prepared difficult questions for the students.,She says:,"""I hope they're prepared for this.""","a. The questions required thorough preparation to answer.
b. The questions were straightforward and required little effort.
c. She had never felt so well prepared for a meeting.
d. She posted the question on the class forum.",Rabia,Stella,
C1_37_UA_I,unambiguous,ironic,She,question,trivial,positive,She prepared trivial questions for the students.,She says:,"""I hope they're prepared for this.""","a. The questions required thorough preparation to answer.
b. The questions were straightforward and required little effort.
c. She had never felt so well prepared for a meeting.
d. She posted the question on the class forum.",Rabia,Stella,
C1_37_UA_NI,unambiguous,non-ironic,She,question,impossible,negative,She prepared impossible questions for the students.,She says:,"""I hope they're prepared for this.""","a. The questions required thorough preparation to answer.
b. The questions were straightforward and required little effort.
c. She had never felt so well prepared for a meeting.
d. She posted the question on the class forum.",Rabia,Stella,
C1_38_A_I,ambiguous,ironic,He,appointment,difficult,negative,He booked an appointment through a system which was difficult to use.,He says: ,"""That was about as easy as it gets.""","a. Booking the appointment was straightforward and effortless. 
a. Booking the appointment was frustrating and difficult.
c. He always found parallel parking easy as it gets.
d. He decided to cancel the appointment.",Rabia,Stella,
C1_38_A_NI,ambiguous,non-ironic,He,appointment,easy,positive,He booked an appointment through a system which was easy to use.,He says: ,"""That was about as easy as it gets.""","a. Booking the appointment was straightforward and effortless. 
a. Booking the appointment was frustrating and difficult.
c. He always found parallel parking easy as it gets.
d. He decided to cancel the appointment.",Rabia,Stella,
C1_38_UA_I,unambiguous,ironic,He,appointment,impossible,negative,He booked an appointment through a system which was impossible to use.,He says: ,"""That was about as easy as it gets.""","a. Booking the appointment was straightforward and effortless. 
a. Booking the appointment was frustrating and difficult.
c. He always found parallel parking easy as it gets.
d. He decided to cancel the appointment.",Rabia,Stella,
C1_38_UA_NI,unambiguous,non-ironic,He,appointment,trivial,positive,He booked an appointment through a system which was trivial to use.,He says: ,"""That was about as easy as it gets.""","a. Booking the appointment was straightforward and effortless. 
a. Booking the appointment was frustrating and difficult.
c. He always found parallel parking easy as it gets.
d. He decided to cancel the appointment.",Rabia,Stella,
C1_39_A_I,ambiguous,ironic,They,task,easy,positive,They finished an easy task for their maths lesson.,They say:,"""We must be very smart.""","a. Completing the task was a genuine sign of intelligence.
b. Anyone could have done the task, no special abilities required.
c. They were always smart about managing their money.
d. They were given another task after the math lesson.",Rabia,Stella,
C1_39_A_NI,ambiguous,non-ironic,They,task,difficult,negative,They finished a difficult task for their maths lesson.,They say:,"""We must be very smart.""","a. Completing the task was a genuine sign of intelligence.
b. Anyone could have done the task, no special abilities required.
c. They were always smart about managing their money.
d. They were given another task after the math lesson.",Rabia,Stella,
C1_39_UA_I,unambiguous,ironic,They,task,trivial,positive,They finished a trivial task for their maths lesson.,They say:,"""We must be very smart.""","a. Completing the task was a genuine sign of intelligence.
b. Anyone could have done the task, no special abilities required.
c. They were always smart about managing their money.
d. They were given another task after the math lesson.",Rabia,Stella,
C1_39_UA_NI,unambiguous,non-ironic,They,task,impossible,negative,They finished an impossible task for their maths lesson.,They say:,"""We must be very smart.""","a. Completing the task was a genuine sign of intelligence.
b. Anyone could have done the task, no special abilities required.
c. They were always smart about managing their money.
d. They were given another task after the math lesson.",Rabia,Stella,
C1_40_A_I,ambiguous,ironic,He,payment,difficult,negative,He made a payment through a website which was difficult to use.,He says: ,"""Technology at its finest.""","a. Making the payment was a smooth and effortless experience.
b. Making the payment was complicated and painful.
c. He always thought the finest restaurants required a reservation.
d. He decided to cancel the payment altogether.",Rabia,Stella,
C1_40_A_NI,ambiguous,non-ironic,He,payment,easy,positive,He made a payment through a website which was easy to use.,He says: ,"""Technology at its finest.""","a. Making the payment was a smooth and effortless experience.
b. Making the payment was complicated and painful.
c. He always thought the finest restaurants required a reservation.
d. He decided to cancel the payment altogether.",Rabia,Stella,
C1_40_UA_I,unambiguous,ironic,He,payment,impossible,negative,He made a payment through a website which was impossible to use.,He says: ,"""Technology at its finest.""","a. Making the payment was a smooth and effortless experience.
b. Making the payment was complicated and painful.
c. He always thought the finest restaurants required a reservation.
d. He decided to cancel the payment altogether.",Rabia,Stella,
C1_40_UA_NI,unambiguous,non-ironic,He,payment,trivial,positive,He made a payment through a website which was trivial to use.,He says: ,"""Technology at its finest.""","a. Making the payment was a smooth and effortless experience.
b. Making the payment was complicated and painful.
c. He always thought the finest restaurants required a reservation.
d. He decided to cancel the payment altogether.",Rabia,Stella,
"C1_41_A_I
",ambiguous,ironic,She,kitchen,dirty,positive,She finished cooking and the kitchen was dirty.,She says:,"""I'm the sort of person who likes to keep things tidy.""","a. Her kitchen was tidy.
b. Her kitchen was a mess.
c. Children should regularly tidy up their rooms.
d. The apartment came with a fully equipped kitchen.",Rabia,Stella,
C1_41_A_NI,ambiguous,non-ironic,She,kitchen,clean,negative,She finished cooking and the kitchen was clean.,She says:,"""I'm the sort of person who likes to keep things tidy.""","a. Her kitchen was tidy.
b. Her kitchen was a mess.
c. Children should regularly tidy up their rooms.
d. The apartment came with a fully equipped kitchen.",Rabia,Stella,
C1_41_UA_I,unambiguous,ironic,She,kitchen,filthy,positive,She finished cooking and the kitchen was filthy.,She says:,"""I'm the sort of person who likes to keep things tidy.""","a. Her kitchen was tidy.
b. Her kitchen was a mess.
c. Children should regularly tidy up their rooms.
d. The apartment came with a fully equipped kitchen.",Rabia,Stella,
C1_41_UA_NI,unambiguous,non-ironic,She,kitchen,pristine,negative,She finished cooking and the kitchen was pristine.,She says:,"""I'm the sort of person who likes to keep things tidy.""","a. Her kitchen was tidy.
b. Her kitchen was a mess.
c. Children should regularly tidy up their rooms.
d. The apartment came with a fully equipped kitchen.",Rabia,Stella,
"C1_42_A_I
",ambiguous,ironic,They,room,clean,negative,They walked into the room and found it clean.,They said:,“Looks like you didn’t wait too long to clean it.”,"a. The room was tidied up well before it got too messy.
b. The room was left in a terrible state for far too long.
c. They never had to wait long for a table.
d. They decided to book a different room altogether.",Rabia,Stella,
C1_42_A_NI,ambiguous,non-ironic,They,room,dirty,positive,They walked into the room and found it dirty.,They said:,“Looks like you didn’t wait too long to clean it.”,"a. The room was tidied up well before it got too messy.
b. The room was left in a terrible state for far too long.
c. They never had to wait long for a table.
d. They decided to book a different room altogether.",Rabia,Stella,
C1_42_UA_I,unambiguous,ironic,They,room,pristine,negative,They walked into the room and found it pristine.,They said:,“Looks like you didn’t wait too long to clean it.”,"a. The room was tidied up well before it got too messy.
b. The room was left in a terrible state for far too long.
c. They never had to wait long for a table.
d. They decided to book a different room altogether.",Rabia,Stella,
C1_42_UA_NI,unambiguous,non-ironic,They,room,filthy,positive,They walked into the room and found it filthy.,They said:,“Looks like you didn’t wait too long to clean it.”,"a. The room was tidied up well before it got too messy.
b. The room was left in a terrible state for far too long.
c. They never had to wait long for a table.
d. They decided to book a different room altogether.",Rabia,Stella,
"C1_43_A_I
",ambiguous,ironic,They,street,dirty,positive,The street was dirty.,They say: ,"""Such a beautiful walk.""","a. The street was genuinely pleasant.
b. The street was far from pretty.
c. They went for a walk in the park.
d. A dog was barking on the street.",Rabia,Stella,
C1_43_A_NI,ambiguous,non-ironic,They,street,clean,negative,The street was clean.,They say: ,"""Such a beautiful walk.""","a. The street was genuinely pleasant.
b. The street was far from pretty.
c. They went for a walk in the park.
d. A dog was barking on the street.",Rabia,Stella,
C1_43_UA_I,unambiguous,ironic,They,street,filthy,positive,The street was filthy.,They say: ,"""Such a beautiful walk.""","a. The street was genuinely pleasant.
b. The street was far from pretty.
c. They went for a walk in the park.
d. A dog was barking on the street.",Rabia,Stella,
C1_43_UA_NI,unambiguous,non-ironic,They,street,pristine,negative,The street was pristine.,They say: ,"""Such a beautiful walk.""","a. The street was genuinely pleasant.
b. The street was far from pretty.
c. They went for a walk in the park.
d. A dog was barking on the street.",Rabia,Stella,
"C1_44_A_I
",ambiguous,ironic,She,floor,clean,negative,The floor was clean.,She says:,"""You could practically eat off the floor here.""","a. The floor was very clean.
b. The floor was very dirty.
c. She could eat a whole cake.
d. The dance floor was very empty.",,Stella,
C1_44_A_NI,ambiguous,non-ironic,She,floor,dirty,positive,The floor was dirty.,She says:,"""You could practically eat off the floor here.""","a. The floor was very clean.
b. The floor was very dirty.
c. She could eat a whole cake.
d. The dance floor was very empty.",,Stella,
C1_44_UA_I,unambiguous,ironic,She,floor,pristine,negative,The floor was pristine.,She says:,"""You could practically eat off the floor here.""","a. The floor was very clean.
b. The floor was very dirty.
c. She could eat a whole cake.
d. The dance floor was very empty.",,Stella,
C1_44_UA_NI,unambiguous,non-ironic,She,floor,filthy,positive,The floor was filthy.,She says:,"""You could practically eat off the floor here.""","a. The floor was very clean.
b. The floor was very dirty.
c. She could eat a whole cake.
d. The dance floor was very empty.",,Stella ,
"C1_45_A_I
",ambiguous,ironic,They,movie,funny,positive,They watched a funny movie.,They say:,"""That was the perfect movie for a laugh.""","a. The movie was funny and great.
b. The movie wasn't amusing.
c. They had such a perfect night.
d. They saw three movies that week.",Rabia,Stella,
C1_45_A_NI,ambiguous,non-ironic,They,movie,serious,negative,They watched a serious movie.,They say:,"""That was the perfect movie for a laugh.""","a. The movie was funny and great.
b. The movie wasn't amusing.
c. They had such a perfect night.
d. They saw three movies that week.",Rabia,Stella,
C1_45_UA_I,unambiguous,ironic,They,movie,hilarious,positive,They watched a hilarious movie.,They say:,"""That was the perfect movie for a laugh.""","a. The movie was funny and great.
b. The movie wasn't amusing.
c. They had such a perfect night.
d. They saw three movies that week.",Rabia,Stella,
C1_45_UA_NI,unambiguous,non-ironic,They,movie,grim,negative,They watched a grim movie.,They say:,"""That was the perfect movie for a laugh.""","a. The movie was funny and great.
b. The movie wasn't amusing.
c. They had such a perfect night.
d. They saw three movies that week.",Rabia,Stella,
"C1_46_A_I
",ambiguous,ironic,She,musical,serious,negative,The musical she watched was really serious.,She says:,"""That cracked me up.""","a. The musical left her deeply moved.
b. The musical was purely for laughs.
c. The joke cracked everyone up.
d. She answered some questions about the musical.",Rabia,Stella,
C1_46_A_NI,ambiguous,non-ironic,She,musical,funny,positive,The musical she watched was really funny.,She says:,"""That cracked me up.""","a. The musical left her deeply moved.
b. The musical was purely for laughs.
c. The joke cracked everyone up.
d. She answered some questions about the musical.",Rabia,Stella,
C1_46_UA_I,unambiguous,ironic,She,musical,grim,negative,The musical she watched was really grim.,She says:,"""That cracked me up.""","a. The musical left her deeply moved.
b. The musical was purely for laughs.
c. The joke cracked everyone up.
d. She answered some questions about the musical.",Rabia,Stella,
C1_46_UA_NI,unambiguous,non-ironic,She,musical,hilarious,positive,The musical she watched was really hilarious.,She says:,"""That cracked me up.""","a. The musical left her deeply moved.
b. The musical was purely for laughs.
c. The joke cracked everyone up.
d. She answered some questions about the musical.",Rabia,Stella,
"C1_47_A_I
",ambiguous,ironic,She,situation,funny,positive,The situation was funny.,She says:,"""Truly something to laugh about.""","a. The situation was genuinely amusing.
b. The situation was far too serious.
c. She always found it hard to laugh about things.
d. She tried to make the best of the situation.",Rabia,Stella,
C1_47_A_NI,ambiguous,non-ironic,She,situation,serious,negative,The situation was serious.,She says:,"""Truly something to laugh about.""","a. The situation was genuinely amusing.
b. The situation was far too serious.
c. She always found it hard to laugh about things.
d. She tried to make the best of the situation.",Rabia,Stella,
C1_47_UA_I,unambiguous,ironic,She,situation,hilarious,positive,The situation was hilarious.,She says:,"""Truly something to laugh about.""","a. The situation was genuinely amusing.
b. The situation was far too serious.
c. She always found it hard to laugh about things.
d. She tried to make the best of the situation.",Rabia,Stella,
C1_47_UA_NI,unambiguous,non-ironic,She,situation,grim,negative,The situation was grim.,She says:,"""Truly something to laugh about.""","a. The situation was genuinely amusing.
b. The situation was far too serious.
c. She always found it hard to laugh about things.
d. She tried to make the best of the situation.",Rabia,Stella,
"C1_48_A_I
",ambiguous,ironic,He,talk,serious,negative,His talk was serious. ,Hey says:,"""Wow, so many jokes in one talk.""","a. The talk contained humour. 
b. The talk contained no humour.
c. He was a fan of old jokes.
d. He decided to cancel the talk.",,Stella,
C1_48_A_NI,ambiguous,non-ironic,He,talk,funny,positive,His talk was funny. ,Hey says:,"""Wow, so many jokes in one talk.""","a. The talk contained humour. 
b. The talk contained no humour.
c. He was a fan of old jokes.
d. He decided to cancel the talk.",,Stella,
C1_48_UA_I,unambiguous,ironic,He,talk,grim,negative,His talk was grim. ,Hey says:,"""Wow, so many jokes in one talk.""","a. The talk contained humour. 
b. The talk contained no humour.
c. He was a fan of old jokes.
d. He decided to cancel the talk.",,Stella,
C1_48_UA_NI,unambiguous,non-ironic,He,talk,hilarious,positive,His talk was hilarious. ,Hey says:,"""Wow, so many jokes in one talk.""","a. The talk contained humour. 
b. The talk contained no humour.
c. He was a fan of old jokes.
d. He decided to cancel the talk.",,Stella,
"C1_49_A_I
",ambiguous,ironic,He,airport,good,positive,He had a good experience at the airport.,He says:,"""A complete nightmare, really.""","a. The airport experience was enjoyable.
b. The airport experience was thoroughly unpleasant.
c. He came back from his trip exhausted.
d. He decided to book a different airport transfer.",Rabia,Stella,
C1_49_A_NI,ambiguous,non-ironic,He,airport,bad,negative,He had a bad experience at the airport.,He says:,"""A complete nightmare, really.""","a. The airport experience was enjoyable.
b. The airport experience was thoroughly unpleasant.
c. He came back from his trip exhausted.
d. He decided to book a different airport transfer.",Rabia,Stella,
C1_49_UA_I,unambiguous,ironic,He,airport,excellent,positive,He had an excellent experience at the airport.,He says:,"""A complete nightmare, really.""","a. The airport experience was enjoyable.
b. The airport experience was thoroughly unpleasant.
c. He came back from his trip exhausted.
d. He decided to book a different airport transfer.",Rabia,Stella,
C1_49_UA_NI,unambiguous,non-ironic,He,airport,terrible,negative,He had a terrible experience at the airport.,He says:,"""A complete nightmare, really.""","a. The airport experience was enjoyable.
b. The airport experience was thoroughly unpleasant.
c. He came back from his trip exhausted.
d. He decided to book a different airport transfer.",Rabia,Stella,
"C1_50_A_I
",ambiguous,ironic,He,exam,bad,negative,"He studied hard for the exam, and the results were bad.",He says:,"""Well, this is amazing.""","a. The exam results were impressive
b. The exam results were deeply disappointing.
c. He always found art museums amazing.
d. He had one more exam this week.",Rabia,Stella,
C1_50_A_NI,ambiguous,non-ironic,He,exam,good,positive,"He studied hard for the exam, and the results were good.",He says:,"""Well, this is amazing.""","a. The exam results were impressive
b. The exam results were deeply disappointing.
c. He always found art museums amazing.
d. He had one more exam this week.",Rabia,Stella,
C1_50_UA_I,unambiguous,ironic,He,exam,terrible,negative,"He studied hard for the exam, and the results were terrible.",He says:,"""Well, this is amazing.""","a. The exam results were impressive
b. The exam results were deeply disappointing.
c. He always found art museums amazing.
d. He had one more exam this week.",Rabia,Stella,
C1_50_UA_NI,unambiguous,non-ironic,He,exam,excellent,positive,"He studied hard for the exam, and the results were excellent.",He says:,"""Well, this is amazing.""","a. The exam results were impressive
b. The exam results were deeply disappointing.
c. He always found art museums amazing.
d. He had one more exam this week.",Rabia,Stella,
"C1_51_A_I
",ambiguous,ironic,They,play,good,positive,They left the play feeling good.,They said: ,"""That wasn't fun at all.""","a. They found the play dull.
b. They found the play entertaining.
c. They had fun eating together.
d. They liked to watch a play in their favorite theatre.",,,
