item_id,cg_level,irony_label,context_type,topic,pronoun,tense,context,cg_framing,Explicit_sentence,target_utterance
C2_38_L_I,low,ironic,environmental,printing,I,past simple,It ran out of ink on the last page and jammed when I tried to reload it.,I told someone at reception who had not been anywhere near the printer room that morning.,,That printed perfectly.
C2_38_H_N,high,non-ironic,environmental,printing,I,past simple,It came out double-sided and perfectly formatted without any adjustment.,My colleague had been standing beside me and had already taken their copy without any issues.,,That printed perfectly.
C2_38_L_N,low,non-ironic,environmental,printing,I,past simple,It came out double-sided and perfectly formatted without any adjustment.,I told someone at reception who had not been anywhere near the printer room that morning.,,That printed perfectly.
C2_39_H_I,high,ironic,procedural,filing a form,they,past perfect,The system had crashed twice and they had been asked to resubmit everything from scratch.,The administrator had been at the desk throughout and had witnessed both crashes.,,What a simple process.
C2_39_L_I,low,ironic,procedural,filing a form,they,past perfect,The system had crashed twice and they had been asked to resubmit everything from scratch.,They told a friend who had never used the system and had no idea what the process involved.,,What a simple process.
C2_39_H_N,high,non-ironic,procedural,filing a form,they,past perfect,The whole thing had taken under ten minutes and the confirmation arrived instantly.,The administrator had been there the whole time and had seen how quickly it had all gone through.,,What a simple process.
C2_39_L_N,low,non-ironic,procedural,filing a form,they,past perfect,The whole thing had taken under ten minutes and the confirmation arrived instantly.,They told a friend who had never used the system and had no idea what the process involved.,,What a simple process.
C2_40_H_I,high,ironic,procedural,installing software,she,past simple,"It took three attempts, two reboots and a call to IT before it finally worked.",The IT technician had been on the phone for the whole process and knew exactly what it had taken.,,That was effortless to set up.
C2_40_L_I,low,ironic,procedural,installing software,she,past simple,"It took three attempts, two reboots and a call to IT before it finally worked.",She mentioned it to a friend who was not familiar with the software and had no context for the process.,,That was effortless to set up.
C2_40_H_N,high,non-ironic,procedural,installing software,she,past simple,It installed in under two minutes and opened without a single configuration issue.,The IT technician had been on the phone throughout and had already noted how cleanly it had gone.,,That was effortless to set up.
C2_40_L_N,low,non-ironic,procedural,installing software,she,past simple,It installed in under two minutes and opened without a single configuration issue.,She mentioned it to a friend who was not familiar with the software and had no context for the process.,,That was effortless to set up.
C2_41_H_I,high,ironic,procedural,booking a service,he,past perfect,The website had timed out three times and he had been charged before receiving a confirmation.,His colleague had tried the same booking process that morning and had run into the same issues.,,That was straightforward to book.
C2_41_L_I,low,ironic,procedural,booking a service,he,past perfect,The website had timed out three times and he had been charged before receiving a confirmation.,He described it to a family member who had never used the service and knew nothing about it.,,That was straightforward to book.
C2_41_H_N,high,non-ironic,procedural,booking a service,he,past perfect,The whole process had taken three minutes and the confirmation had arrived immediately.,His colleague had made the same booking earlier and had already said how easy it had been.,,That was straightforward to book.
C2_41_L_N,low,non-ironic,procedural,booking a service,he,past perfect,The whole process had taken three minutes and the confirmation had arrived immediately.,He described it to a family member who had never used the service and knew nothing about it.,,That was straightforward to book.
C2_42_H_I,high,ironic,procedural,returns and refunds,I,past simple,I was passed between four agents and the money still had not arrived three weeks later.,My friend had bought the same product and had been following my refund saga from the start.,,That refund came through without any hassle.
C2_42_L_I,low,ironic,procedural,returns and refunds,I,past simple,I was passed between four agents and the money still had not arrived three weeks later.,I mentioned it to someone I had just met who had no knowledge of the purchase or the dispute.,,That refund came through without any hassle.
C2_42_H_N,high,non-ironic,procedural,returns and refunds,I,past simple,The refund was processed the same day and back in my account by the following morning.,My friend had bought the same product and had already asked me which process I had used.,,That refund came through without any hassle.
C2_42_L_N,low,non-ironic,procedural,returns and refunds,I,past simple,The refund was processed the same day and back in my account by the following morning.,I mentioned it to someone I had just met who had no knowledge of the purchase or the dispute.,,That refund came through without any hassle.
C2_43_H_I,high,ironic,procedural,work training session,they,past simple,The trainer read from a printout for three hours and covered nothing they did not already know.,Their colleague had sat through the same session and already shared the same opinion.,,That was well worth attending.
C2_43_L_I,low,ironic,procedural,work training session,they,past simple,The trainer read from a printout for three hours and covered nothing they did not already know.,They described it to a friend in a different field who had no idea what the training covered.,,That was well worth attending.
C2_43_H_N,high,non-ironic,procedural,work training session,they,past simple,The session was packed with new techniques and they applied three of them the next morning.,Their colleague had been in the same room and had already started applying the same techniques.,,That was well worth attending.
C2_43_L_N,low,non-ironic,procedural,work training session,they,past simple,The session was packed with new techniques and they applied three of them the next morning.,They described it to a friend in a different field who had no idea what the training covered.,,That was well worth attending.
C2_44_H_I,high,ironic,procedural,getting feedback on writing,she,past perfect,The reviewer had sent back one line saying it needed more work with no further explanation.,Her supervisor had read the same feedback email and had been just as surprised by how brief it was.,,That feedback was so useful.
C2_44_L_I,low,ironic,procedural,getting feedback on writing,she,past perfect,The reviewer had sent back one line saying it needed more work with no further explanation.,She told a friend outside academia who had no idea what the writing project was about.,,That feedback was so useful.
C2_44_H_N,high,non-ironic,procedural,getting feedback on writing,she,past perfect,The reviewer had annotated every section and included specific suggestions throughout.,Her supervisor had seen the annotated draft and had already commented on how thorough it was.,,That feedback was so useful.
C2_44_L_N,low,non-ironic,procedural,getting feedback on writing,she,past perfect,The reviewer had annotated every section and included specific suggestions throughout.,She told a friend outside academia who had no idea what the writing project was about.,,That feedback was so useful.
C2_45_H_I,high,ironic,procedural,assembly instructions,he,past simple,Three parts were missing and the instructions did not match what was in the box.,His partner had been helping him and had seen every missing part and mismatched diagram.,,This is such a well-designed product.
C2_45_L_I,low,ironic,procedural,assembly instructions,he,past simple,Three parts were missing and the instructions did not match what was in the box.,He mentioned it to a stranger at the recycling point who had no connection to the product.,,This is such a well-designed product.
C2_45_H_N,high,non-ironic,procedural,assembly instructions,he,past simple,Everything snapped together in minutes and the illustrated guide was perfectly clear.,His partner had been helping him and had already said it was the easiest thing they had ever built.,,This is such a well-designed product.
C2_45_L_N,low,non-ironic,procedural,assembly instructions,he,past simple,Everything snapped together in minutes and the illustrated guide was perfectly clear.,He mentioned it to a stranger at the recycling point who had no connection to the product.,,This is such a well-designed product.
C2_46_H_I,high,ironic,procedural,registering for an account,I,past simple,The verification email never arrived and I was locked out after the third attempt.,My colleague had tried to sign up for the same platform that afternoon and had the exact same problem.,,That sign-up process was a breeze.
C2_46_L_I,low,ironic,procedural,registering for an account,I,past simple,The verification email never arrived and I was locked out after the third attempt.,I told a friend who did not use the platform and had no idea what signing up usually involved.,,That sign-up process was a breeze.
C2_46_H_N,high,non-ironic,procedural,registering for an account,I,past simple,I was set up and logged in within two minutes without a single error message.,My colleague had signed up the same day and had already said how quick and easy it had been.,,That sign-up process was a breeze.
C2_46_L_N,low,non-ironic,procedural,registering for an account,I,past simple,I was set up and logged in within two minutes without a single error message.,I told a friend who did not use the platform and had no idea what signing up usually involved.,,That sign-up process was a breeze.
C2_47_H_I,high,ironic,cultural,queue,they,past simple,They had been standing for forty-five minutes and the line had barely moved.,The friend beside them had been in the same queue the whole time and felt equally impatient.,,I am really enjoying this queue.
C2_47_L_I,low,ironic,cultural,queue,they,past simple,They had been standing for forty-five minutes and the line had barely moved.,One of them texted a friend at home who had no idea they were waiting anywhere.,,I am really enjoying this queue.
C2_47_H_N,high,non-ironic,cultural,queue,they,past simple,A staff member offered them a free sample while they waited and the line moved quickly.,The friend beside them had been in the same queue and had already eaten two of the free samples.,,I am really enjoying this queue.
C2_47_L_N,low,non-ironic,cultural,queue,they,past simple,A staff member offered them a free sample while they waited and the line moved quickly.,One of them texted a friend at home who had no idea they were waiting anywhere.,,I am really enjoying this queue.
C2_48_H_I,high,ironic,cultural,bureaucracy,she,past perfect,She had been sent to three different windows and told to come back tomorrow.,Her colleague had gone through the same office the week before and already knew how it usually went.,,I love how efficient this system is.
C2_48_L_I,low,ironic,cultural,bureaucracy,she,past perfect,She had been sent to three different windows and told to come back tomorrow.,She mentioned it to someone visiting the country who had no experience of the local system.,,I love how efficient this system is.
C2_48_H_N,high,non-ironic,cultural,bureaucracy,she,past perfect,The clerk had processed everything in ten minutes and handed her the certificate on the spot.,Her colleague had been through the same process and had already warned her it might be painless.,,I love how efficient this system is.
C2_48_L_N,low,non-ironic,cultural,bureaucracy,she,past perfect,The clerk had processed everything in ten minutes and handed her the certificate on the spot.,She mentioned it to someone visiting the country who had no experience of the local system.,,I love how efficient this system is.
C2_49_H_I,high,ironic,cultural,film screening,he,past simple,"The plot made no sense, the ending was unresolved and he fell asleep in the final act.",His viewing companion had been beside him and had nudged him awake twice during the film.,,Well that was worth watching.
C2_49_L_I,low,ironic,cultural,film screening,he,past simple,"The plot made no sense, the ending was unresolved and he fell asleep in the final act.",He described it to a friend who had not seen it and had only heard the title mentioned once.,,Well that was worth watching.
C2_49_H_N,high,non-ironic,cultural,film screening,he,past simple,The film gripped him from the first scene and he sat in silence for a minute when it ended.,His viewing companion had been beside him and had already said it was one of the best films they had seen.,,Well that was worth watching.
C2_49_L_N,low,non-ironic,cultural,film screening,he,past simple,The film gripped him from the first scene and he sat in silence for a minute when it ended.,He described it to a friend who had not seen it and had only heard the title mentioned once.,,Well that was worth watching.
C2_50_H_I,high,ironic,cultural,networking event,I,past simple,"I spoke to no one useful, the food ran out in twenty minutes and I left feeling invisible.",A colleague had attended the same event and had already sent me a commiserating message.,,That was a great use of my evening.
C2_50_L_I,low,ironic,cultural,networking event,I,past simple,"I spoke to no one useful, the food ran out in twenty minutes and I left feeling invisible.",I mentioned it to my partner who had stayed home and had no idea what the event involved.,,That was a great use of my evening.
C2_50_H_N,high,non-ironic,cultural,networking event,I,past simple,I had three meaningful conversations and left with two follow-up meetings already booked.,A colleague had been at the same event and had already said they felt the same way about it.,,That was a great use of my evening.
C2_50_L_N,low,non-ironic,cultural,networking event,I,past simple,I had three meaningful conversations and left with two follow-up meetings already booked.,I mentioned it to my partner who had stayed home and had no idea what the event involved.,,That was a great use of my evening.
"Meeting @April 28, 2026",,,,,,,,,,
