item_id,context_level,irony_label,irony_type,context_type,topic,pronoun,tense,context,target_utterance,Tokens,Notes,tok_Gemma-3-4B,tok_Mistral-7B-Instruct,tok_OLMo-2-7B,tok_Qwen3-8B,tok_ModernBERT-8B,tok_Llama-3-8B,cg_level,cg_framing,Explicit_sentence
C1B_38_L_I,ambiguous,ironic,PC,environmental,printing,I,past simple,"
I needed to print a document urgently before leaving for a meeting that morning.
",That printed perfectly.,,,41,48,39,39,46,40,,,
C1B_38_L_N,ambiguous,non-ironic,PC,environmental,printing,I,past simple,"
I needed to print a document and went to the printer along the hall.
",That printed perfectly.,,,41,47,39,39,46,40,,,
C1B_38_H_I,unambiguous,ironic,PC,environmental,printing,I,past simple,"It ran out of ink on the last page, jammed when I tried to reload it and a paper got stuck while printing.",That printed perfectly.,,,49,56,49,49,55,50,,,
C1B_38_H_N,unambiguous,non-ironic,PC,environmental,printing,I,past simple,It came out double-sided and perfectly formatted on the first attempt without any adjustment needed.,That printed perfectly.,,,42,50,40,40,47,41,,,
C1B_39_L_I,ambiguous,ironic,PC,procedural,filing a form,they,past perfect,"
They needed to submit an official form through an online government portal for the first time.
",What a simple process.,,,44,50,42,42,49,43,,,
C1B_39_L_N,ambiguous,non-ironic,PC,procedural,filing a form,they,past perfect,"
They needed to submit an official form online and had set aside time that afternoon to do it.
",What a simple process.,,,46,52,44,44,51,45,,,
C1B_39_H_I,unambiguous,ironic,PC,procedural,filing a form,they,past perfect,The system had crashed twice and they had been asked to resubmit everything from scratch.,What a simple process.,,,42,48,42,42,48,43,,,
C1B_39_H_N,unambiguous,non-ironic,PC,procedural,filing a form,they,past perfect,The whole thing had taken under ten minutes and the confirmation arrived instantly.,What a simple process.,,,39,44,38,38,44,39,,,
C1B_40_L_I,ambiguous,ironic,PC,procedural,installing software,she,past simple,"
She needed to install a piece of software she had not used before on a new work laptop.
",That was effortless to set up.,,,48,55,46,46,54,47,,,
C1B_40_L_N,ambiguous,non-ironic,PC,procedural,installing software,she,past simple,"
She had installed the same software on a previous device and remembered it being straightforward.
",That was effortless to set up.,,,45,52,43,43,51,44,,,
C1B_40_H_I,unambiguous,ironic,PC,procedural,installing software,she,past simple,"It took three attempts, two reboots and a call to IT before it finally worked.",That was effortless to set up.,,,45,52,45,45,51,46,,,
C1B_40_H_N,unambiguous,non-ironic,PC,procedural,installing software,she,past simple,It installed in under two minutes and opened without a single configuration issue.,That was effortless to set up.,,,41,47,40,40,47,41,,,
C1B_41_L_I,ambiguous,ironic,PC,procedural,booking a service,he,past perfect,"
He needed to book an appointment through a service provider's online system for the first time.
",That was straightforward to book.,,,47,53,44,44,51,45,,,
C1B_41_L_N,ambiguous,non-ironic,PC,procedural,booking a service,he,past perfect,"
He needed to book an appointment through the service provider's website and sat down to do it.
",That was straightforward to book.,,,48,54,45,45,52,46,,,
C1B_41_H_I,unambiguous,ironic,PC,procedural,booking a service,he,past perfect,The website had timed out three times and he had been charged before receiving a confirmation.,That was straightforward to book.,,,43,49,42,42,48,43,,,
C1B_41_H_N,unambiguous,non-ironic,PC,procedural,booking a service,he,past perfect,The whole process had taken three minutes and the confirmation had arrived immediately.,That was straightforward to book.,,,40,45,39,39,45,40,,,
C1B_42_L_I,ambiguous,ironic,EV,procedural,returns and refunds,I,past simple,"
I had contacted customer support to request a refund on an item I had returned recently.
",That refund came through without any hassle.,,,47,54,45,45,52,46,,,
C1B_42_L_N,ambiguous,non-ironic,EV,procedural,returns and refunds,I,past simple,"
I had contacted customer support to request a refund and was waiting to hear back from them.
",That refund came through without any hassle.,,,48,55,46,46,53,47,,,
C1B_42_H_I,unambiguous,ironic,EV,procedural,returns and refunds,I,past simple,I was passed between four agents and the money still had not arrived three weeks later.,That refund came through without any hassle.,,,45,51,44,44,50,45,,,
C1B_42_H_N,unambiguous,non-ironic,EV,procedural,returns and refunds,I,past simple,The refund was processed the same day and back in my account by the following morning.,That refund came through without any hassle.,,,45,51,44,44,50,45,,,
C1B_43_L_I,ambiguous,ironic,US,procedural,work training session,they,past simple,"
They had been signed up for a full-day training session on a topic new to most of the team.
",Surely an informative session.,,,49,57,47,47,55,48,,,
C1B_43_L_N,ambiguous,non-ironic,US,procedural,work training session,they,past simple,"
They had been signed up for a full-day training session that was taking place later that week.
",Surely an informative session.,,,47,55,45,45,53,46,,,
C1B_43_H_I,unambiguous,ironic,US,procedural,work training session,they,past simple,The trainer read from a printout for three hours and covered nothing they did not already know.,Surely an informative session.,,,44,51,44,44,50,45,,,
C1B_43_H_N,unambiguous,non-ironic,US,procedural,work training session,they,past simple,The session was packed with new techniques and they applied three of them the next morning.,Surely an informative session.,,,42,49,42,42,48,43,,,
C1B_44_L_I,ambiguous,ironic,EV,procedural,getting feedback on writing,she,past perfect,"
She had submitted a piece of writing for review and was waiting to hear back from the reviewer.
",That feedback was so useful.,,,47,54,45,45,52,46,,,
C1B_44_L_N,ambiguous,non-ironic,EV,procedural,getting feedback on writing,she,past perfect,"
She had worked with reviewers in the past who had always given her thorough and useful comments.
",That feedback was so useful.,,,46,53,44,44,51,45,,,
C1B_44_H_I,unambiguous,ironic,EV,procedural,getting feedback on writing,she,past perfect,The reviewer had sent back one line saying it needed more work with no further explanation.,That feedback was so useful.,,,43,49,42,42,48,43,,,
C1B_44_H_N,unambiguous,non-ironic,EV,procedural,getting feedback on writing,she,past perfect,The reviewer had annotated every section carefully and included specific and detailed suggestions throughout.,That feedback was so useful.,,,41,49,40,40,46,41,,,
C1B_45_L_I,ambiguous,ironic,US,procedural,assembly instructions,he,past simple,"
He had bought a new piece of flat-pack furniture and sat down to assemble it that afternoon.
",They really put some thought into that one.,,,51,58,48,48,56,49,,,
C1B_45_L_N,ambiguous,non-ironic,US,procedural,assembly instructions,he,past simple,"
He had bought a new piece of flat-pack furniture and had the instructions open on the floor.
",They really put some thought into that one.,,,51,57,48,48,56,49,,,
C1B_45_H_I,unambiguous,ironic,US,procedural,assembly instructions,he,past simple,Three parts were missing and the instructions did not match what was in the box.,They really put some thought into that one.,,,45,50,44,44,50,45,,,
C1B_45_H_N,unambiguous,non-ironic,US,procedural,assembly instructions,he,past simple,Everything snapped together in a matter of minutes and the illustrated guide was perfectly clear.,They really put some thought into that one.,,,45,50,44,44,50,45,,,
C1B_46_L_I,ambiguous,ironic,PC,procedural,registering for an account,I,past simple,"
I needed to create an account on a new platform to access a service I had not used before.
",That sign-up process was a breeze.,,,51,57,48,48,56,49,,,
C1B_46_L_N,ambiguous,non-ironic,PC,procedural,registering for an account,I,past simple,"
I needed to create an account on a new platform and had my email address and details to hand.
",That sign-up process was a breeze.,,,51,57,48,48,56,49,,,
C1B_46_H_I,unambiguous,ironic,PC,procedural,registering for an account,I,past simple,The verification email never arrived and I was locked out after the third attempt.,That sign-up process was a breeze.,,,44,49,42,42,49,43,,,
C1B_46_H_N,unambiguous,non-ironic,PC,procedural,registering for an account,I,past simple,I was set up and logged in within two minutes without a single error message.,That sign-up process was a breeze.,,,45,50,43,43,50,44,,,
C1B_47_L_I,ambiguous,ironic,US,cultural,queue,they,past simple,"
They had joined a queue outside a popular venue on a busy weekend afternoon.
",I am really enjoying this queue.,,,44,50,42,42,49,43,,,
C1B_47_L_N,ambiguous,non-ironic,US,cultural,queue,they,past simple,"
They had arrived at the venue early and joined the queue before it had started moving.",I am really enjoying this queue.,,,46,51,44,44,51,45,,,
C1B_47_H_I,unambiguous,ironic,US,cultural,queue,they,past simple,They had been standing for forty-five minutes and the line had barely moved.,I am really enjoying this queue.,,,43,48,41,41,48,42,,,
C1B_47_H_N,unambiguous,non-ironic,US,cultural,queue,they,past simple,A staff member offered a free sample while they waited and the queue moved quickly.,I am really enjoying this queue.,,,43,48,42,42,48,43,,,
C1B_48_L_I,ambiguous,ironic,PC,cultural,bureaucracy,she,past perfect,"
She had gone to a government office to complete an administrative procedure she had been putting off.
",I love how efficient this system is.,,,48,54,46,46,53,47,,,
C1B_48_L_N,ambiguous,non-ironic,PC,cultural,bureaucracy,she,past perfect,"
She had gone to a government office to deal with an administrative matter she needed to resolve.",I love how efficient this system is.,,,48,53,46,46,53,47,,,
C1B_48_H_I,unambiguous,ironic,PC,cultural,bureaucracy,she,past perfect,She had been sent to three different windows and was told to come back the next day.,I love how efficient this system is.,,,46,51,45,45,51,46,,,
C1B_48_H_N,unambiguous,non-ironic,PC,cultural,bureaucracy,she,past perfect,The clerk had processed everything in ten minutes and handed her the certificate on the spot.,I love how efficient this system is.,,,45,51,44,44,50,45,,,
C1B_49_L_I,ambiguous,ironic,US,cultural,film screening,he,past simple,"
He had gone to see a film that had received very mixed reviews from both critics and friends.
",Well that was worth watching.,,,47,53,45,45,52,46,,,
C1B_49_L_N,ambiguous,non-ironic,US,cultural,film screening,he,past simple,"
He had been looking forward to the film after a friend had recommended it enthusiastically.
",Well that was worth watching.,,,45,51,42,42,50,43,,,
C1B_49_H_I,unambiguous,ironic,US,cultural,film screening,he,past simple,"The plot made no sense, the ending was unresolved and he fell asleep in the final act.",Well that was worth watching.,,,45,51,44,44,50,45,,,
C1B_49_H_N,unambiguous,non-ironic,US,cultural,film screening,he,past simple,The film gripped him from the first scene and he sat in silence for a minute when it ended.,Well that was worth watching.,,,46,52,46,46,51,47,,,
C1B_50_L_I,ambiguous,ironic,EV,cultural,networking event,I,past simple,"
I had signed up for a professional networking event in a field I was trying to break into.
",That was a great use of my evening.,,,50,56,48,48,55,49,,,
C1B_50_L_N,ambiguous,non-ironic,EV,cultural,networking event,I,past simple,"
I had been to a similar event the previous year and had come away with several useful contacts.
",That was a great use of my evening.,,,50,56,48,48,55,49,,,
C1B_50_H_I,unambiguous,ironic,EV,cultural,networking event,I,past simple,"I spoke to no one useful, the food ran out in twenty minutes and I left feeling invisible.",That was a great use of my evening.,,,49,54,48,48,54,49,,,
C1B_50_H_N,unambiguous,non-ironic,EV,cultural,networking event,I,past simple,I had three genuinely useful conversations and left with two follow-up meetings already booked.,That was a great use of my evening.,,,46,52,44,44,51,45,,,
C2_01_H_I,,ironic,,situational,work presentation,she,past perfect,Her slides had crashed halfway through and the client had walked out early.,That went really smoothly.,,,67,76,65,65,73,66,high,Her colleague had been sitting in the back row and had watched the whole thing unfold.,Her colleague was in the room. She says:
C2_01_L_I,,ironic,,situational,work presentation,she,past perfect,Her slides had crashed halfway through and the client had walked out early.,That went really smoothly.,,,39,44,38,38,44,39,low,She mentioned it afterwards to a friend who had spent the day working from home.,
C2_01_H_N,,non-ironic,,situational,work presentation,she,past perfect,Her manager had praised every slide and the client had signed the contract immediately.,That went really smoothly.,,,58,65,56,56,64,57,high,Her colleague had been in the room throughout and had seen how well it had gone.,
C2_01_L_N,,non-ironic,,situational,work presentation,she,past perfect,Her manager had praised every slide and the client had signed the contract immediately.,That went really smoothly.,,,40,45,39,39,45,40,low,She mentioned it later to a contact she had only just met at a networking event.,
C2_02_H_I,,ironic,,situational,job interview,he,past perfect,He had waited two hours and then been told the role had already been filled.,That was a great use of my time.,,,62,68,60,60,68,61,high,His flatmate had driven him there and had been waiting outside the whole time.,
C2_02_L_I,,ironic,,situational,job interview,he,past perfect,He had waited two hours and then been told the role had already been filled.,That was a great use of my time.,,,45,50,44,44,50,45,low,He texted a cousin abroad who had no idea he had even applied for the job.,
C2_02_H_N,,non-ironic,,situational,job interview,he,past perfect,The interviewer had offered him the position on the spot and shaken his hand warmly.,That was a great use of my time.,,,64,73,62,62,72,63,high,His flatmate had been waiting outside and had heard the good news the moment he emerged.,
C2_02_L_N,,non-ironic,,situational,job interview,he,past perfect,The interviewer had offered him the position on the spot and shaken his hand warmly.,That was a great use of my time.,,,45,53,44,44,52,45,low,He texted a cousin abroad who had no idea he had even been to an interview.,
C2_03_H_I,,ironic,,situational,restaurant meal,they,past simple,The food arrived cold and the waiter spilled soup on their jackets.,I really enjoyed that meal.,,,58,68,56,56,65,57,high,Both of them had been at the table together and neither had managed to finish their plate.,
C2_03_L_I,,ironic,,situational,restaurant meal,they,past simple,The food arrived cold and the waiter spilled soup on their jackets.,I really enjoyed that meal.,,,39,47,38,38,45,39,low,One of them described it to a colleague who had not been there and knew nothing about it.,
C2_03_H_N,,non-ironic,,situational,restaurant meal,they,past simple,The food was fresh and beautifully presented and the service was impeccable.,I really enjoyed that meal.,,,62,72,60,60,70,61,high,Both of them had shared the same meal and had already agreed it was one of the best they had tried.,
C2_03_L_N,,non-ironic,,situational,restaurant meal,they,past simple,The food was fresh and beautifully presented and the service was impeccable.,I really enjoyed that meal.,,,39,47,38,38,46,39,low,One of them described it to a colleague who had not been there and knew nothing about it.,
C2_04_H_I,,ironic,,situational,flight journey,she,past simple,The gate changed twice and the flight was delayed by three hours.,What a smooth flight.,,,55,63,53,53,62,54,high,Her travel companion had been through the same ordeal and did not need any explanation.,
C2_04_L_I,,ironic,,situational,flight journey,she,past simple,The gate changed twice and the flight was delayed by three hours.,What a smooth flight.,,,38,43,37,37,43,38,low,"She told her neighbour at home, who had no idea she had even travelled that day.",
C2_04_H_N,,non-ironic,,situational,flight journey,she,past simple,They boarded on time and she collected her bags within minutes of landing.,What a smooth flight.,,,59,66,57,57,65,58,high,Her travel companion had been beside her the whole way and already knew how well it had gone.,
C2_04_L_N,,non-ironic,,situational,flight journey,she,past simple,They boarded on time and she collected her bags within minutes of landing.,What a smooth flight.,,,39,45,38,38,44,39,low,"She told her neighbour at home, who had no idea she had even been on a trip.",
C2_05_H_I,,ironic,,situational,customer support call,he,past perfect,He had been transferred three times and then disconnected without a resolution.,That was incredibly helpful.,,,58,67,57,57,65,58,high,His partner had overheard the whole call from the next room and already knew exactly what had happened.,
C2_05_L_I,,ironic,,situational,customer support call,he,past perfect,He had been transferred three times and then disconnected without a resolution.,That was incredibly helpful.,,,38,44,37,37,43,38,low,He mentioned it to an acquaintance who had no knowledge of his situation or the problem he had called about.,
C2_05_H_N,,non-ironic,,situational,customer support call,he,past perfect,The agent had resolved the issue in five minutes and sent a confirmation email straight away.,That was incredibly helpful.,,,60,66,58,58,66,59,high,His partner had been sitting next to him and had heard the whole conversation play out.,
C2_05_L_N,,non-ironic,,situational,customer support call,he,past perfect,The agent had resolved the issue in five minutes and sent a confirmation email straight away.,That was incredibly helpful.,,,42,47,41,41,47,42,low,He mentioned it to an acquaintance who had no knowledge of his situation or the problem he had called about.,
C2_06_H_I,,ironic,,situational,online delivery,I,past simple,The parcel was marked delivered but was nowhere to be found for four days.,Well that arrived quickly.,,,60,67,58,58,66,59,high,My housemate had been waiting in for it too and was just as frustrated as I was.,
C2_06_L_I,,ironic,,situational,online delivery,I,past simple,The parcel was marked delivered but was nowhere to be found for four days.,Well that arrived quickly.,,,40,46,39,39,45,40,low,I mentioned it to someone I had just started chatting with online who knew nothing about my order.,
C2_06_H_N,,non-ironic,,situational,online delivery,I,past simple,The parcel arrived a day early and was left exactly where I had requested.,Well that arrived quickly.,,,60,67,58,58,66,59,high,My housemate had been in all day and had brought it in the moment it was delivered.,
C2_06_L_N,,non-ironic,,situational,online delivery,I,past simple,The parcel arrived a day early and was left exactly where I had requested.,Well that arrived quickly.,,,40,46,39,39,45,40,low,I mentioned it to someone I had just started chatting with online who knew nothing about the order.,
C2_07_H_I,,ironic,,situational,train journey,they,past simple,The train was cancelled and the replacement bus broke down on the motorway.,What a reliable service.,,,58,67,57,57,65,58,high,Both of them had been stranded together and had shared the same long wait on the platform.,
C2_07_L_I,,ironic,,situational,train journey,they,past simple,The train was cancelled and the replacement bus broke down on the motorway.,What a reliable service.,,,39,45,39,39,45,40,low,One of them described the journey to a friend who had stayed at home that day.,
C2_07_H_N,,non-ironic,,situational,train journey,they,past simple,The train arrived two minutes early and they found seats straight away.,What a reliable service.,,,58,67,56,56,65,57,high,Both of them had made the trip together and had been pleasantly surprised by how smoothly it went.,
C2_07_L_N,,non-ironic,,situational,train journey,they,past simple,The train arrived two minutes early and they found seats straight away.,What a reliable service.,,,38,43,37,37,43,38,low,One of them described the journey to a friend who had stayed at home that day.,
C2_08_H_I,,ironic,,situational,car repair,she,past perfect,She had been told two hours and had got it back three days later.,That was a quick turnaround.,,,59,67,57,57,66,58,high,Her partner had dropped her off and had been following the whole saga from the start.,
C2_08_L_I,,ironic,,situational,car repair,she,past perfect,She had been told two hours and had got it back three days later.,That was a quick turnaround.,,,41,47,40,40,47,41,low,She mentioned it to a new colleague who had no idea she had even taken the car in.,
C2_08_H_N,,non-ironic,,situational,car repair,she,past perfect,It had been ready within the hour and they had called her before she reached the caf�.,That was a quick turnaround.,,,64,71,62,62,71,63,high,"Her partner had dropped her off and had been updated throughout, so no explanation was needed.",
C2_08_L_N,,non-ironic,,situational,car repair,she,past perfect,It had been ready within the hour and they had called her before she reached the caf�.,That was a quick turnaround.,,,45,51,44,44,51,45,low,She mentioned it to a new colleague who had no idea she had even taken the car in.,
C2_09_H_I,,ironic,,situational,camping trip,he,past simple,The tent collapsed in the night and it rained the entire weekend.,That was a proper outdoor adventure.,,,56,64,55,55,63,56,high,His camping companion had lived through every moment of it and needed no explanation.,
C2_09_L_I,,ironic,,situational,camping trip,he,past simple,The tent collapsed in the night and it rained the entire weekend.,That was a proper outdoor adventure.,,,40,46,40,40,46,41,low,He described the trip to a relative who had not known he was going away at all.,
C2_09_H_N,,non-ironic,,situational,camping trip,he,past simple,The weather was perfect and he came home feeling refreshed and energised.,That was a proper outdoor adventure.,,,62,70,60,60,69,61,high,His camping companion had been there throughout and had already said it was the best trip they had taken.,
C2_09_L_N,,non-ironic,,situational,camping trip,he,past simple,The weather was perfect and he came home feeling refreshed and energised.,That was a proper outdoor adventure.,,,41,47,40,40,47,41,low,He described the trip to a relative who had not known he was going away at all.,
C2_10_H_I,,ironic,,situational,software update,I,past simple,The update forced a restart right as the call started and I missed the first ten minutes.,That was well timed.,,,63,71,61,61,69,62,high,My colleague on the call had watched my screen freeze and already knew exactly what had gone wrong.,
C2_10_L_I,,ironic,,situational,software update,I,past simple,The update forced a restart right as the call started and I missed the first ten minutes.,That was well timed.,,,43,49,42,42,48,43,low,I mentioned it to a friend who had not been on the call and had no idea I had had any trouble.,
C2_10_H_N,,non-ironic,,situational,software update,I,past simple,The update finished with ten minutes to spare and the new version ran perfectly.,That was well timed.,,,57,65,55,55,63,56,high,My colleague on the call had seen the whole thing go smoothly from their end.,
C2_10_L_N,,non-ironic,,situational,software update,I,past simple,The update finished with ten minutes to spare and the new version ran perfectly.,That was well timed.,,,40,46,39,39,45,40,low,I mentioned it to a friend who had not been on the call and had no idea how it had gone.,
C2_11_H_I,,ironic,,relational,group project,they,past perfect,Two members had done nothing and the rest had found out at midnight before the deadline.,What a team effort.,,,62,71,60,60,68,61,high,Everyone in the group had been part of the same experience and knew exactly how it had unfolded.,
C2_11_L_I,,ironic,,relational,group project,they,past perfect,Two members had done nothing and the rest had found out at midnight before the deadline.,What a team effort.,,,42,47,41,41,47,42,low,One member described it to a student from a different course who had no connection to the project.,
C2_11_H_N,,non-ironic,,relational,group project,they,past perfect,"Everyone had contributed, communicated clearly and delivered well ahead of schedule.",What a team effort.,,,60,68,58,58,66,59,high,Everyone in the group had been through it together and shared the same sense of how well it had gone.,
C2_11_L_N,,non-ironic,,relational,group project,they,past perfect,"Everyone had contributed, communicated clearly and delivered well ahead of schedule.",What a team effort.,,,38,44,37,37,43,38,low,One member described it to a student from a different course who had no connection to the project.,
C2_12_H_I,,ironic,,relational,surprise party,she,past simple,She arrived home to find nobody there and a reminder that everyone had cancelled.,What a wonderful surprise.,,,58,64,56,56,64,57,high,Her sister had been one of the people who cancelled and already knew the whole story.,
C2_12_L_I,,ironic,,relational,surprise party,she,past simple,She arrived home to find nobody there and a reminder that everyone had cancelled.,What a wonderful surprise.,,,40,45,39,39,45,40,low,She mentioned it to someone at work who had not known about the plans at all.,
C2_12_H_N,,non-ironic,,relational,surprise party,she,past simple,Her friends had decorated the flat and baked her favourite cake.,What a wonderful surprise.,,,54,62,52,52,61,53,high,Her sister had helped organise it and already knew how well the evening had gone.,
C2_12_L_N,,non-ironic,,relational,surprise party,she,past simple,Her friends had decorated the flat and baked her favourite cake.,What a wonderful surprise.,,,37,43,36,36,42,37,low,She mentioned it to someone at work who had not known about the plans at all.,
C2_13_H_I,,ironic,,relational,colleague feedback,he,past simple,His colleague had picked apart every sentence without offering a single suggestion.,That was really constructive feedback.,,,56,65,54,54,62,55,high,A third colleague had been copied on the exchange and had read the whole thread.,
C2_13_L_I,,ironic,,relational,colleague feedback,he,past simple,His colleague had picked apart every sentence without offering a single suggestion.,That was really constructive feedback.,,,39,46,38,38,44,39,low,He told a friend outside work who had never met his colleague and knew nothing of the report.,
C2_13_H_N,,non-ironic,,relational,colleague feedback,he,past simple,His colleague had highlighted three strong points and offered two clear improvements.,That was really constructive feedback.,,,57,66,55,55,63,56,high,A third colleague had been copied in and had seen the whole exchange from the beginning.,
C2_13_L_N,,non-ironic,,relational,colleague feedback,he,past simple,His colleague had highlighted three strong points and offered two clear improvements.,That was really constructive feedback.,,,39,46,38,38,44,39,low,He told a friend outside work who had never met his colleague and knew nothing of the report.,
C2_14_H_I,,ironic,,relational,coordinating plans,I,past simple,It took three group chats and two last-minute cancellations to agree on anything.,That was easy to organise.,,,63,74,61,61,72,62,high,Everyone in the group had been part of the same chaotic thread and knew exactly what it had taken.,
C2_14_L_I,,ironic,,relational,coordinating plans,I,past simple,It took three group chats and two last-minute cancellations to agree on anything.,That was easy to organise.,,,42,50,41,41,50,42,low,I told someone who had not been invited and had no idea any planning had been going on.,
C2_14_H_N,,non-ironic,,relational,coordinating plans,I,past simple,Everyone replied within the hour and we agreed on a time and place in two messages.,That was easy to organise.,,,65,73,63,63,72,64,high,Everyone in the group had been part of it and had already commented on how smoothly it had come together.,
C2_14_L_N,,non-ironic,,relational,coordinating plans,I,past simple,Everyone replied within the hour and we agreed on a time and place in two messages.,That was easy to organise.,,,43,49,42,42,49,43,low,I told someone who had not been invited and had no idea any planning had been going on.,
C2_15_H_I,,ironic,,relational,dinner with family,they,past simple,An argument broke out over dessert and two people left before coffee.,That was a relaxing evening.,,,57,65,55,55,63,56,high,Everyone at the table had been present for the argument and no one needed it explained.,
C2_15_L_I,,ironic,,relational,dinner with family,they,past simple,An argument broke out over dessert and two people left before coffee.,That was a relaxing evening.,,,39,45,38,38,44,39,low,One of them described the evening to a partner who had stayed at home and heard nothing about it.,
C2_15_H_N,,non-ironic,,relational,dinner with family,they,past simple,"They talked for hours, laughed a lot and no one wanted to leave.",That was a relaxing evening.,,,60,67,58,58,66,59,high,Everyone present had shared the same warm evening and was still talking about it the next day.,
C2_15_L_N,,non-ironic,,relational,dinner with family,they,past simple,"They talked for hours, laughed a lot and no one wanted to leave.",That was a relaxing evening.,,,41,46,40,40,46,41,low,One of them described the evening to a partner who had stayed at home and heard nothing about it.,
C2_16_H_I,,ironic,,relational,asking for help,she,past perfect,Nobody had responded to her message and she had ended up managing everything alone.,That was so kind of them.,,,60,69,58,58,67,59,high,Her manager had seen the unanswered message in the team channel and already knew the situation.,
C2_16_L_I,,ironic,,relational,asking for help,she,past perfect,Nobody had responded to her message and she had ended up managing everything alone.,That was so kind of them.,,,42,47,41,41,47,42,low,She mentioned it to a friend in a different department who had no knowledge of what had happened.,
C2_16_H_N,,non-ironic,,relational,asking for help,she,past perfect,Two colleagues had stayed late without being asked to help her finish on time.,That was so kind of them.,,,62,68,60,60,68,61,high,Her manager had been aware of the situation throughout and had seen how the team had stepped up.,
C2_16_L_N,,non-ironic,,relational,asking for help,she,past perfect,Two colleagues had stayed late without being asked to help her finish on time.,That was so kind of them.,,,42,47,41,41,47,42,low,She mentioned it to a friend in a different department who had no knowledge of what had happened.,
C2_17_H_I,,ironic,,relational,shared task at home,he,past simple,He had done everything while his flatmate was out the whole weekend.,That was a fair split of the work.,,,63,69,61,61,69,62,high,His flatmate had come home to a clean flat and knew perfectly well who had done it.,
C2_17_L_I,,ironic,,relational,shared task at home,he,past simple,He had done everything while his flatmate was out the whole weekend.,That was a fair split of the work.,,,43,48,42,42,48,43,low,He mentioned it to a friend who had not been there and had no idea how the chores were divided.,
C2_17_H_N,,non-ironic,,relational,shared task at home,he,past simple,They both worked steadily and finished the flat in under two hours.,That was a fair split of the work.,,,65,73,63,63,71,64,high,His flatmate had been there the whole time and was well aware of how evenly the work had been shared.,
C2_17_L_N,,non-ironic,,relational,shared task at home,he,past simple,They both worked steadily and finished the flat in under two hours.,That was a fair split of the work.,,,42,48,41,41,47,42,low,He mentioned it to a friend who had not been there and had no idea how the chores were divided.,
C2_18_H_I,,ironic,,relational,meeting a deadline together,I,past simple,My partner submitted the wrong file and I had to redo their section at midnight.,We really pulled together on that one.,,,61,70,59,59,68,60,high,My partner was on the same project and already knew exactly how events had unfolded.,
C2_18_L_I,,ironic,,relational,meeting a deadline together,I,past simple,My partner submitted the wrong file and I had to redo their section at midnight.,We really pulled together on that one.,,,44,50,43,43,50,44,low,I mentioned it to a friend who had no idea we had been working on anything together.,
C2_18_H_N,,non-ironic,,relational,meeting a deadline together,I,past simple,My partner delivered their section early and we submitted together with time to spare.,We really pulled together on that one.,,,62,68,60,60,68,61,high,My partner had been part of every step and already knew how well we had managed it.,
C2_18_L_N,,non-ironic,,relational,meeting a deadline together,I,past simple,My partner delivered their section early and we submitted together with time to spare.,We really pulled together on that one.,,,43,48,42,42,48,43,low,I mentioned it to a friend who had no idea we had been working on anything together.,
C2_19_H_I,,ironic,,relational,receiving advice,they,past simple,Their mentor dismissed the concern and told them to stop overthinking it.,That was exactly what I needed to hear.,,,60,69,58,58,66,59,high,A friend had recommended the mentor and had already heard how the session had gone.,
C2_19_L_I,,ironic,,relational,receiving advice,they,past simple,Their mentor dismissed the concern and told them to stop overthinking it.,That was exactly what I needed to hear.,,,43,50,42,42,48,43,low,They told a new acquaintance who had never met the mentor and knew nothing of the issue.,
C2_19_H_N,,non-ironic,,relational,receiving advice,they,past simple,Their mentor listened carefully and offered a perspective they had not considered.,That was exactly what I needed to hear.,,,60,68,58,58,66,59,high,A friend had recommended the mentor and had heard immediately how valuable the conversation had been.,
C2_19_L_N,,non-ironic,,relational,receiving advice,they,past simple,Their mentor listened carefully and offered a perspective they had not considered.,That was exactly what I needed to hear.,,,42,48,41,41,47,42,low,They told a new acquaintance who had never met the mentor and knew nothing of the issue.,
C2_20_H_I,,ironic,,relational,medical appointment,she,past perfect,The doctor had spent four minutes with her and told her to come back if it got worse.,That doctor was so thorough.,,,72,78,70,70,78,71,high,"Her partner had come along and had been sitting in the waiting room the whole time, fully aware of how brief it had been.",
C2_20_L_I,,ironic,,relational,medical appointment,she,past perfect,The doctor had spent four minutes with her and told her to come back if it got worse.,That doctor was so thorough.,,,45,50,44,44,50,45,low,She mentioned it to a distant relative who had no knowledge of her health situation at all.,
C2_20_H_N,,non-ironic,,relational,medical appointment,she,past perfect,The doctor had asked detailed questions and explained every step of the diagnosis.,That doctor was so thorough.,,,57,63,55,55,63,56,high,Her partner had come along and had heard the full consultation through the open door.,
C2_20_L_N,,non-ironic,,relational,medical appointment,she,past perfect,The doctor had asked detailed questions and explained every step of the diagnosis.,That doctor was so thorough.,,,40,45,39,39,45,40,low,She mentioned it to a distant relative who had no knowledge of her health situation at all.,
C2_21_H_I,,ironic,,emotional,exam result,he,past simple,He failed despite studying every day for a month.,Well that was worth all the effort.,,,57,64,55,55,63,56,high,His study partner had revised alongside him and knew exactly how much work he had put in.,
C2_21_L_I,,ironic,,emotional,exam result,he,past simple,He failed despite studying every day for a month.,Well that was worth all the effort.,,,38,43,37,37,43,38,low,He told a relative abroad who had no idea he had even been sitting an exam.,
